FID	IID	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00113	HG00113	-0.0102808	-0.0244411	0.0094353	-0.0170268	-0.0122038	0.0254294	0.0184125	0.0362782	0.0177213	-0.0243206
HG00114	HG00114	-0.0102129	-0.0267506	0.0200693	-0.0161581	-0.0328904	-0.025113	-0.0193929	0.0432443	-0.0142258	-0.0189173
HG00115	HG00115	-0.0100005	-0.0273335	0.0041509	-0.0170566	0.00682451	0.0402695	-0.0340407	0.0113499	0.0265993	0.0148667
HG00116	HG00116	-0.00900104	-0.0288851	0.0105624	-0.0193627	0.0307916	0.0232141	-0.00965206	-0.0119303	0.00350607	-0.00635802
HG00117	HG00117	-0.0115783	-0.0270355	0.010394	-0.0179377	0.0439774	0.0465837	-0.0273451	-0.0124382	-0.00759587	-0.00868466
HG00118	HG00118	-0.00836182	-0.0265067	0.0176796	-0.0141169	-0.0373102	-0.00326295	0.0184404	-0.00916397	-0.0212317	0.00500816
HG00119	HG00119	-0.0126855	-0.024381	0.0124761	-0.015586	-0.0263252	0.00441138	-0.013558	0.00541355	-0.00924355	-0.0120554
HG00120	HG00120	-0.00979454	-0.0290408	0.0103415	-0.0149543	0.069088	0.0346762	-0.00431628	0.0138338	-0.0038326	-0.0296254
HG00121	HG00121	-0.00968156	-0.0311845	0.0145331	-0.0213233	-0.00666676	0.0172085	-0.0267561	0.00885241	0.00368255	0.0187925
HG00122	HG00122	-0.00974464	-0.024692	0.0107064	-0.0111438	-0.0123435	-0.00793206	-0.0121437	0.0303253	0.0237945	0.00343327
HG00123	HG00123	-0.00794121	-0.0294028	0.0149145	-0.0118851	-0.00846587	0.00139001	0.00522931	-0.00221402	-0.0340286	0.0436281
HG00125	HG00125	-0.00942087	-0.0256117	0.0131788	-0.0129408	-0.00937557	0.0121032	-0.023331	0.0166643	-0.00223766	0.0357752
HG00126	HG00126	-0.00964299	-0.0265598	0.00695229	-0.0155145	0.000514632	0.0303276	-0.0124312	-0.023751	0.0107669	0.0210217
HG00127	HG00127	-0.008233	-0.0252094	0.00919929	-0.0233368	0.0652687	0.0213353	0.0421827	0.00788301	0.00114867	0.000559075
HG00128	HG00128	-0.00905887	-0.0246081	0.00525464	-0.00821532	-0.018634	0.0088478	-0.00603674	0.0291049	0.0135112	0.0075773
HG00129	HG00129	-0.00984672	-0.0294771	0.0122139	-0.0225067	-0.0114544	-0.00335026	-0.00738104	0.00955361	0.00224081	0.0545594
HG00130	HG00130	-0.0100878	-0.0277372	0.0169492	-0.0207368	0.00564647	0.0325713	-0.00148805	0.00718521	0.015045	0.0327407
HG00131	HG00131	-0.0101546	-0.0242186	0.016744	-0.0117538	-0.0223742	0.0110449	-0.0326338	0.0264346	-0.0319826	0.0141908
HG00132	HG00132	-0.00976933	-0.0236877	0.00919555	-0.014616	0.0382331	-0.0209758	0.0303112	0.0531779	-0.0394801	-0.0298141
HG00133	HG00133	-0.0103469	-0.0273495	0.0126193	-0.0178779	-0.00281613	0.010111	-0.0112077	0.000326543	0.00995389	-0.00107958
HG00136	HG00136	-0.011531	-0.0272223	0.00141273	-0.0157858	0.0222914	0.0146814	-0.0143238	0.0054972	-0.0157583	0.0174127
HG00137	HG00137	-0.0102597	-0.0297035	0.0138026	-0.0193263	-0.0107001	0.0377086	-0.0113756	0.0203775	0.00879084	0.0104905
HG00138	HG00138	-0.0107832	-0.0297059	0.0161259	-0.0185896	-0.0183154	0.0118514	-0.0275283	0.01818	-0.00143396	-0.0160337
HG00139	HG00139	-0.00907363	-0.0286224	0.0119931	-0.0216218	0.0347768	0.0152754	0.00522272	-0.0206618	-0.0199252	-0.0100483
HG00140	HG00140	-0.0118895	-0.02632	0.0141735	-0.0168737	-0.00730432	0.0129246	-0.0483097	0.0457361	-0.0164172	0.00622728
HG00141	HG00141	-0.00921052	-0.026807	0.00929739	-0.0176539	0.0312426	0.0228071	0.00606431	-0.0255958	-0.0376385	0.000765512
HG00142	HG00142	-0.0112851	-0.0261029	0.0150877	-0.0187326	-0.00189102	0.0130958	-0.0371979	0.0216282	0.00493742	0.00458242
HG00143	HG00143	-0.00975373	-0.0304929	0.00772588	-0.0114207	0.0280776	0.00381147	-0.0267812	0.0388313	0.0190935	-0.00983334
HG00145	HG00145	-0.0105836	-0.0238837	0.0117759	-0.0184192	0.00886243	0.027213	0.00911841	-0.0351072	-0.000659232	0.0463505
HG00146	HG00146	-0.0105697	-0.0254487	0.00863882	-0.00892473	-0.0348042	-0.0307994	-0.0388484	0.0409346	-0.0013152	-0.0232191
HG00148	HG00148	-0.010262	-0.0278534	0.0100654	-0.0155091	0.0224453	-0.0146203	-0.016249	0.00414454	-0.0181741	0.0227701
HG00149	HG00149	-0.00947604	-0.0288937	0.0111556	-0.0127495	-0.0280241	-0.00167035	-0.0417536	0.0357884	-0.0230904	-0.00658017
HG00150	HG00150	-0.00786963	-0.0281694	0.0166426	-0.0112525	-0.036869	-0.0275004	0.00905616	0.00629874	-0.0264922	-0.0325891
HG00151	HG00151	-0.00988227	-0.0232663	0.0136569	-0.0176776	-0.0145914	0.0105492	-0.0154155	0.0103207	0.00802767	0.00300315
HG00154	HG00154	-0.0108533	-0.0302145	0.0129196	-0.013256	-0.00898671	0.0222085	-0.0662732	0.0232469	0.0116411	0.0321402
HG00155	HG00155	-0.00845975	-0.0260588	0.00777244	-0.0218572	0.0263895	-0.0232913	0.0111282	0.0283876	0.0157422	0.00436788
HG00157	HG00157	-0.0113083	-0.0279436	0.00907892	-0.0223156	-0.00818674	0.0119961	0.0108038	-0.00457102	0.00241581	-0.00252788
HG00158	HG00158	-0.00919816	-0.0321194	0.00898527	-0.0177274	0.0162253	0.00799942	-0.0186625	0.0272298	0.0339163	-0.0189715
HG00159	HG00159	-0.0102317	-0.024906	0.0120669	-0.0189696	0.0204978	0.0123167	0.00241124	0.0345915	-2.44207e-05	-0.0244583
HG00160	HG00160	-0.00996946	-0.0274658	0.0145696	-0.0097211	0.0450497	-0.0426883	0.00422273	-0.00244431	-0.0294667	-0.0492613
HG00171	HG00171	-0.0132418	-0.0172443	0.00895491	-0.0181664	0.0159853	0.0534571	-0.0277198	0.0142348	-0.0246545	-0.000796643
HG00173	HG00173	-0.0108947	-0.022772	0.0151324	-0.0106257	-0.000580684	0.0600056	-0.033616	-0.0043834	-0.0413224	-0.00331963
HG00174	HG00174	-0.0114742	-0.0229594	0.0105987	-0.0117644	-0.00577875	0.0242634	-0.035096	-0.0124219	-0.024484	-0.0120594
HG00176	HG00176	-0.011854	-0.0234878	0.0163481	-0.00812276	-0.0184634	0.0281189	-0.0421105	0.0163124	-0.0504217	-0.0112361
HG00177	HG00177	-0.0104973	-0.0241542	0.0195214	-0.0202452	0.0222987	0.0475038	-0.0336886	0.0357783	-0.0184601	0.00999362
HG00178	HG00178	-0.0115818	-0.0289243	0.0104034	-0.0129596	-0.0138394	0.0437496	-0.0358095	0.0186683	-0.0080836	-0.00155419
HG00179	HG00179	-0.0114924	-0.0227129	0.0110385	-0.00830781	-0.00395216	0.00789485	-0.0295247	0.00194849	0.00734502	-0.00769305
HG00180	HG00180	-0.00988406	-0.0254912	0.00498796	-0.00835811	0.0437989	0.0436521	-0.0479681	-0.0067971	-0.0101102	-0.0561593
HG00181	HG00181	-0.00902499	-0.0267597	-0.000478861	-0.0134254	-0.00603782	0.00570148	-0.024037	-0.00454798	0.0167917	-0.010543
HG00182	HG00182	-0.00947541	-0.0278376	0.0201852	-0.0164474	-0.0113399	0.0367606	-0.0347971	0.0351348	-0.0247292	0.00228543
HG00183	HG00183	-0.0126723	-0.0214034	0.00262986	-0.0111558	0.0298198	0.0436744	-0.0327218	0.0137874	-0.00593536	0.00729559
HG00185	HG00185	-0.010207	-0.0251811	0.00650306	-0.0234763	0.0171243	0.0852026	-0.0431929	-0.011841	-0.0410007	0.00859354
HG00186	HG00186	-0.0102821	-0.0234307	0.0144356	-0.00960352	0.0390257	0.0287474	-0.051178	0.0196558	-0.0231053	0.00405751
HG00187	HG00187	-0.0101204	-0.0229762	0.0192406	-0.0183829	0.030359	0.0792475	0.00578186	0.00677961	-0.0350742	-0.00754815
HG00188	HG00188	-0.0125152	-0.0205906	0.0146336	-0.0162223	-0.0284507	0.0237568	-0.0186741	-0.0165259	-0.047423	-0.0492619
HG00189	HG00189	-0.0109285	-0.0248934	0.00906306	-0.00787675	-0.0091552	0.0437947	-0.0308277	-0.0148191	-0.0197338	0.0188179
HG00190	HG00190	-0.0115265	-0.0233653	0.0165942	-0.0183246	-0.0119611	0.0332808	-0.0103584	0.00615879	-0.0459868	-0.0157795
HG00231	HG00231	-0.0124487	-0.0256583	0.0101781	-0.0122008	-0.0128131	-0.00460531	-0.0356037	-0.0178994	0.0217423	-0.00500713
HG00232	HG00232	-0.00864237	-0.0297582	0.0137302	-0.00654643	-0.0259616	0.0163625	-0.0405611	0.0105762	-0.0207857	0.0235426
HG00233	HG00233	-0.00824876	-0.025265	0.0207333	-0.0199251	-0.027113	-0.00558078	-0.00726207	0.0200249	-0.0265241	0.00688623
HG00234	HG00234	-0.0112146	-0.0227719	0.0132559	-0.0102984	-0.0176167	-0.0363623	-0.00972906	-0.00206264	0.0090371	-0.00741585
HG00235	HG00235	-0.0109616	-0.0268807	0.0104348	-0.00768295	-0.0142956	0.0103568	-0.0553401	0.0311626	-0.0295306	0.0196414
HG00236	HG00236	-0.0116287	-0.0297942	0.00725391	-0.0202554	-0.0150224	0.011701	-0.0105499	-0.000767245	0.000957086	0.0104806
HG00237	HG00237	-0.00876094	-0.0301042	0.00715641	-0.0112414	0.0270983	-0.0207246	-0.0189113	0.0202874	-0.00500759	-0.00241466
HG00238	HG00238	-0.00969902	-0.0281249	0.0141289	-0.0252916	0.0160802	-0.0347225	-0.0129143	0.0321943	-0.0294903	-0.0108836
HG00239	HG00239	-0.00904242	-0.0276711	0.00517059	-0.0118245	0.00451116	-0.0255795	0.00819443	-0.00116509	-0.0180788	0.0190702
HG00240	HG00240	-0.0101963	-0.0302154	0.00847511	-0.00758804	0.0146225	-0.0200901	-0.0208677	0.0248611	-0.037833	0.0222033
HG00242	HG00242	-0.010616	-0.0276566	0.0108899	-0.0144189	0.0215989	-0.00837089	-0.0192483	0.0238599	-0.0277421	0.0204746
HG00243	HG00243	-0.00977954	-0.0269473	0.0110626	-0.00842266	-0.00645313	-0.0031521	0.0196068	-0.00056559	0.0129159	0.00506425
HG00244	HG00244	-0.010461	-0.0269416	0.0127125	-0.0104617	-0.0125993	0.0102464	-0.0235243	0.0145795	-0.00391295	-0.00276985
HG00245	HG00245	-0.0115401	-0.0272604	0.0119538	-0.0172913	-0.0126968	-0.00711099	-1.26109e-05	-0.00197274	0.0250985	-0.0323582
HG00246	HG00246	-0.0104098	-0.0286154	0.0123251	-0.0196684	0.00128621	0.0159706	-0.0407366	0.0195008	0.00733701	0.0224287
HG00250	HG00250	-0.0103101	-0.0258882	0.01384	-0.0118675	0.0119007	-0.00967418	0.0021649	0.0121691	-0.042288	-0.0312548
HG00251	HG00251	-0.0125439	-0.0276461	0.0117178	-0.0244313	-0.00197118	0.0194206	-0.0266122	0.00315148	0.00873813	0.0445856
HG00252	HG00252	-0.01021	-0.026356	0.0119306	-0.0127219	-0.018021	-0.00643433	-0.0402847	0.0214297	-0.00586128	0.0352318
HG00253	HG00253	-0.00985609	-0.0271814	0.0163785	-0.0170206	-0.0292287	-0.0206583	-0.00397929	0.0214385	0.0116463	0.00790725
HG00254	HG00254	-0.00998007	-0.0274129	0.0120318	-0.0152614	-0.018936	-0.0149402	0.0120387	-0.0123038	0.0108333	-0.0297626
HG00255	HG00255	-0.00903498	-0.0268957	0.00895242	-0.0209159	0.00147101	0.0192391	-0.0202168	-0.0050549	0.0550642	-0.00712872
HG00256	HG00256	-0.0115042	-0.0270324	0.0160532	-0.0188238	-0.00707346	-0.00738301	-0.031274	0.0224916	0.0213429	-0.0480835
HG00257	HG00257	-0.0111165	-0.0286505	0.0143731	-0.0167196	-0.00813643	0.0242173	-0.00602229	-0.015662	0.0201863	-0.0056741
HG00258	HG00258	-0.00995015	-0.0288286	0.0148519	-0.0209855	-0.0149174	-0.00277627	-0.0189535	-0.00107746	-0.00536625	-0.0105252
HG00259	HG00259	-0.0113298	-0.0258946	0.00624539	-0.0203469	-0.0120943	0.00687633	-0.00670669	-0.0219797	-0.00499918	-0.0018875
HG00260	HG00260	-0.00958883	-0.0287848	0.00765628	-0.0294172	0.0309818	0.0252776	-0.00914274	0.00275225	-0.0150339	0.0213763
HG00261	HG00261	-0.0106216	-0.024665	0.00525067	-0.0170947	0.0373722	0.0333496	0.0355638	0.017633	0.00386932	0.033324
HG00262	HG00262	-0.00988699	-0.0299092	0.0174195	-0.0177016	0.0119098	0.027355	-0.0171682	-0.00350002	0.0305367	-0.0178805
HG00263	HG00263	-0.0101881	-0.0259769	0.013654	-0.0182615	-0.000321385	0.0154966	-0.0300146	-0.00363805	-0.00546812	-0.0034894
HG00264	HG00264	-0.0087632	-0.026941	0.0130166	-0.0211911	-0.0021615	0.00877745	-0.0357941	0.0121279	0.0159368	0.0212966
HG00265	HG00265	-0.0108775	-0.0298757	0.0211195	-0.00949831	-0.0350357	-0.0381959	-0.00684589	0.0333887	0.00578249	-0.00968461
HG00266	HG00266	-0.0105688	-0.0242004	0.0112529	-0.0136393	0.024803	0.0504076	-0.0455873	-0.0184761	-0.0101841	-0.0212113
HG00267	HG00267	-0.0102509	-0.027494	0.0094706	-0.0254161	0.0122455	0.0768763	-0.0421053	-0.0474607	-0.013723	0.00328129
HG00268	HG00268	-0.0107056	-0.0236557	0.0145424	-0.0107015	-0.0273003	-0.00832579	-0.0239643	0.0293229	-0.0121613	-0.0136719
HG00269	HG00269	-0.0113732	-0.0245771	0.0162708	-0.0114623	0.0270483	0.0308383	-0.0373961	0.00293577	-0.0210182	-0.017142
HG00271	HG00271	-0.00992512	-0.0236542	0.0149946	-0.010381	0.0162846	0.0661998	-0.0395353	-0.0143983	-0.0331848	-0.0173601
HG00272	HG00272	-0.0118474	-0.0236919	0.0114848	-0.00948082	0.0134799	0.0520893	-0.0583654	-0.0459353	-0.0515115	-0.0313334
HG00273	HG00273	-0.0107174	-0.0234833	0.0161788	-0.0122478	-0.0198884	0.00337958	-0.0508014	0.0319755	-0.0260199	-0.0352512
HG00274	HG00274	-0.00927679	-0.0256319	0.0175046	-0.0142972	0.055713	0.0598941	-0.0395062	0.0303146	-0.00707502	-0.01025
HG00275	HG00275	-0.010372	-0.0250472	0.0165645	-0.0231834	0.0190203	0.01498	-0.00269978	0.0763172	-0.0315119	-0.0115465
HG00276	HG00276	-0.0102909	-0.0264343	0.00892263	-0.0185767	-0.0256956	0.042725	-0.0540255	0.00194886	-0.0547034	0.00247586
HG00277	HG00277	-0.0115239	-0.0289426	0.0151926	-0.016267	0.0100491	0.0077741	-0.0708173	0.0307551	-0.0345683	-0.0301065
HG00278	HG00278	-0.0122312	-0.0221956	0.0112702	-0.0213471	0.0104737	0.0602664	-0.0421043	-0.0362003	-0.0242183	-0.0151798
HG00280	HG00280	-0.0110592	-0.0256048	0.0221982	-0.0222496	0.00957314	0.0675457	-0.0374639	0.00578348	-0.0120724	0.01259
HG00281	HG00281	-0.00905698	-0.0261264	0.012456	-0.0151977	0.0490053	0.0698335	-0.0349426	-0.00663874	-0.0192305	0.0322358
HG00282	HG00282	-0.00950614	-0.022887	0.00808815	-0.0174681	0.027419	0.0520936	-0.0480484	0.0431229	-0.0111581	-0.00515978
HG00284	HG00284	-0.0119695	-0.0250377	0.0164001	-0.0075749	-0.0294195	0.028808	-0.0303479	0.0376292	-0.0324326	0.00903032
HG00285	HG00285	-0.0108397	-0.0238641	0.00798179	-0.0215369	0.076783	0.0525365	-0.0194002	-0.0144305	-0.0277918	-0.000386757
HG00288	HG00288	-0.0115528	-0.0249414	0.0111716	-0.0114989	0.00542794	0.0420009	-0.0588791	0.0249095	-0.0142244	0.0339965
HG00290	HG00290	-0.0123864	-0.0239601	0.00763603	-0.0156807	0.0119821	0.00998015	-0.0341924	-0.00152399	-0.0481038	0.0327599
HG00304	HG00304	-0.0115932	-0.0217285	0.0088919	-0.0217152	0.0435733	0.036607	-0.0218205	0.00387237	-0.0851459	-0.0176281
HG00306	HG00306	-0.0099941	-0.0260712	0.00794821	-0.022517	0.00843138	0.0513546	-0.0130745	-0.00887291	-0.0144922	0.0388587
HG00308	HG00308	-0.0122594	-0.0213004	0.00925612	-0.0169719	0.0887108	0.0360469	-0.0225529	-0.0111017	-0.0680873	-0.00343215
HG00309	HG00309	-0.0133833	-0.0206418	0.014196	-0.0146355	-0.0216574	-0.00560882	-0.0274278	0.0310209	-0.00814708	-0.000559061
HG00310	HG00310	-0.00985574	-0.0224326	0.0181472	-0.00814915	-0.00332332	0.0375811	-0.0335923	0.0217445	-0.010227	0.0340151
HG00311	HG00311	-0.0109181	-0.026842	0.00501946	-0.0150104	0.0322133	0.0272455	-0.0300978	-0.0329114	-0.0219661	-0.0354789
HG00313	HG00313	-0.0116667	-0.0234187	0.0132455	-0.0180035	-0.0060517	0.0763601	-0.0350179	-0.00736253	-0.0310757	-0.00479223
HG00315	HG00315	-0.0106373	-0.0260316	0.0174862	-0.0048323	0.0403835	-0.00238289	-0.0245535	0.00637571	-0.0279279	-0.0157418
HG00318	HG00318	-0.0112235	-0.025703	0.0191318	-0.0257103	-0.013283	0.00415309	-0.0411632	0.0387443	-0.0306864	-0.0231537
HG00319	HG00319	-0.0125036	-0.0220143	0.0135301	-0.0171427	-0.00646614	0.0718537	-0.0401511	-0.024581	-0.0579439	-0.0118207
HG00320	HG00320	-0.0110874	-0.0237893	0.0176838	-0.0213047	-0.0220454	0.0177683	-0.029805	0.0217681	-0.0439026	0.0337192
HG00321	HG00321	-0.0113234	-0.0253642	0.0158593	-0.00305975	0.00629725	0.0128541	-0.0434512	0.0308835	-0.0285894	-0.0287492
HG00323	HG00323	-0.0101148	-0.0231681	0.0117014	-0.00967206	0.00809817	0.0789666	-0.0406744	-0.020997	-0.0203431	-0.0302868
HG00324	HG00324	-0.0128235	-0.022188	0.0170569	-0.0122626	0.0264616	0.0601764	-0.0320672	0.0043423	-0.05663	-0.0198397
HG00325	HG00325	-0.0125497	-0.0253846	0.0154599	-0.0229967	-0.0074148	0.0202312	-0.036829	-0.0101497	-0.0188458	-0.0353818
HG00326	HG00326	-0.0117572	-0.0216321	0.00606203	-0.0177851	-0.00247234	0.0436697	0.0107245	-0.0180262	0.0153708	-0.0230819
HG00327	HG00327	-0.0106957	-0.0202132	0.0120803	-0.0134049	0.00693239	0.0356558	-0.0463173	-0.00128674	-0.0282486	-0.0392823
HG00328	HG00328	-0.0113825	-0.0245259	0.0155468	-0.0161497	0.0258826	0.0573107	-0.079077	-0.00488513	-0.0054186	0.00678043
HG00329	HG00329	-0.0117527	-0.0276032	0.0162854	-0.0293113	0.0124468	0.0597678	-0.0373561	-0.00530411	-0.00786672	-0.0107596
HG00330	HG00330	-0.00800753	-0.0269352	0.0144912	-0.0187494	0.0285844	0.0392218	-0.0397802	-0.00138158	-0.0548897	0.0493067
HG00331	HG00331	-0.0113483	-0.0222831	0.0182408	-0.017244	0.000444523	0.0260018	-0.0338542	0.0166975	-0.0171746	-0.00381095
HG00332	HG00332	-0.0110728	-0.0267444	0.0195219	-0.0183111	-0.0103966	0.0374557	-0.0477711	0.000468172	-0.0138406	-0.00840961
HG00334	HG00334	-0.0093835	-0.0249211	0.0155488	-0.0173323	0.0196105	0.0626678	-0.0400606	0.0229142	0.0220606	0.0139077
HG00335	HG00335	-0.0117893	-0.0259919	0.012404	-0.0297499	0.0380606	0.027877	-0.010006	0.0177914	-0.015643	0.00670599
HG00336	HG00336	-0.0100905	-0.0259027	0.0104681	-0.021066	0.0243289	0.0477548	-0.0318126	0.000372488	-0.000651498	0.0315595
HG00337	HG00337	-0.01023	-0.019986	0.0150151	-0.00690057	0.0345226	0.0335752	-0.0335941	0.0292124	-0.00860285	-0.0199621
HG00338	HG00338	-0.00951932	-0.0227795	0.0124715	-0.024874	0.0127828	0.0630965	-0.0235301	-0.0072819	-0.0183947	-0.0356251
HG00339	HG00339	-0.011091	-0.0233411	0.0167453	-0.0182807	-0.0132242	0.0127349	-0.0467009	0.00749285	-0.0194654	-0.0501138
HG00341	HG00341	-0.00973728	-0.0238285	0.00117502	-0.0159346	0.0177028	0.00616075	-0.00156902	0.01115	-0.00201475	-0.0433073
HG00342	HG00342	-0.0107135	-0.0244218	0.0102223	-0.0111744	-0.0178157	0.0100185	-0.059247	0.00863593	-0.0359481	0.00547367
HG00343	HG00343	-0.00882465	-0.0258075	0.0107613	-0.0201411	0.0113519	0.0586788	-0.0428204	0.00499803	0.00317473	0.0224119
HG00344	HG00344	-0.0103773	-0.0263084	0.0152468	-0.0166576	-0.0032391	0.00265814	-0.0467743	0.0134931	0.0265167	-0.0283818
HG00345	HG00345	-0.0115758	-0.0260528	0.0276979	-0.0146101	-0.00789718	0.0302239	-0.0425742	0.00587004	-0.0310109	-0.0294275
HG00346	HG00346	-0.0104722	-0.0210114	0.0137434	-0.00950364	0.0391498	0.0148304	-0.0296653	-0.00101426	-0.0332397	-0.0393136
HG00349	HG00349	-0.0113596	-0.025427	0.0108006	-0.0215185	0.00172501	0.0548059	-0.00899121	-0.0414545	-0.0470524	-0.00103241
HG00350	HG00350	-0.00953753	-0.0261023	0.0167993	-0.0130403	0.000251775	0.0244316	-0.0168165	-0.0316334	-0.0381774	0.0240255
HG00351	HG00351	-0.0101744	-0.0238562	0.0145369	-0.00947304	-0.00628166	0.0286087	-0.0249048	0.00194714	-0.0506722	0.0130569
HG00353	HG00353	-0.00930168	-0.0285374	0.00863743	-0.0239037	0.0614787	0.049598	-0.0167325	-0.0351409	-0.0388341	-0.0112671
HG00355	HG00355	-0.0103185	-0.0270622	0.0144067	-0.0173149	-0.00607758	0.0471037	-0.0231064	-0.00535894	-0.0137707	0.0151914
HG00356	HG00356	-0.0101203	-0.0252614	0.0144704	-0.0233804	0.0431802	0.0277805	-0.0283341	-0.000739723	-0.0544476	0.00314785
HG00357	HG00357	-0.0105971	-0.0225577	0.0155146	-0.0120798	0.023446	0.0113752	-0.0293636	0.0100602	-0.0380436	-0.0102948
HG00358	HG00358	-0.0113788	-0.0193953	0.00702593	-0.0127247	0.00124706	0.0188099	-0.0358262	0.00928093	-0.0560016	-0.0102712
HG00360	HG00360	-0.011077	-0.0229312	0.018999	-0.0232912	0.00898483	0.0685029	-0.0346497	-0.0283589	-0.00567952	-0.0022298
HG00361	HG00361	-0.0103472	-0.0238636	0.017612	-0.023161	-0.00906594	0.0417883	-0.00627196	-0.0104588	-0.0475235	-0.0193246
HG00362	HG00362	-0.0111457	-0.0245511	0.0177449	-0.0142925	-0.0181865	0.0225174	-0.0184166	0.0362301	-0.0360666	0.0295473
HG00364	HG00364	-0.0106841	-0.0235828	0.00242719	-0.0158632	0.0471584	0.0328317	-0.00511981	-0.0166351	-0.00283376	0.0178421
HG00365	HG00365	-0.00889529	-0.0264115	0.0179752	-0.0230692	-0.00291976	0.0378197	-0.0244164	-0.0377294	-0.0528926	0.0022315
HG00366	HG00366	-0.0118432	-0.0200092	0.0126968	-0.00671698	0.0270216	0.0337576	-0.0413664	0.0478282	-0.0241418	-0.0174444
HG00367	HG00367	-0.0124086	-0.0277384	0.0166646	-0.0132415	-0.0031268	0.0100455	-0.041483	0.0221771	-0.00162311	0.0215613
HG00368	HG00368	-0.0102541	-0.0277434	0.00422563	-0.0212776	0.0580644	0.0657217	-0.0330982	0.0156802	-0.0239433	-0.000622845
HG00369	HG00369	-0.00967685	-0.0245371	0.0176546	-0.0157182	-0.0074672	0.0479609	-0.0614269	0.0276636	-0.026985	-0.00200109
HG00371	HG00371	-0.0106237	-0.0203674	0.0169615	-0.0148007	0.0108431	0.0085821	-0.0426754	0.0443215	-0.0532579	-0.0163674
HG00372	HG00372	-0.010531	-0.0231552	0.00412751	-0.00947971	-0.00118782	0.0396145	-0.0463996	0.00160438	-0.0138192	-0.0175737
HG00373	HG00373	-0.0112146	-0.0222813	0.00595986	-0.0220463	0.0419309	-0.000682846	-0.0163152	0.0149488	-0.0697747	-0.0181363
HG00375	HG00375	-0.0107974	-0.0209991	0.0119033	-0.0148832	0.00191657	0.0270326	-0.0245929	0.0211782	-0.0119547	-0.0419182
HG00376	HG00376	-0.0109993	-0.0277558	0.00403104	-0.0175256	0.0375829	0.0506672	-0.0416801	-0.0293663	-0.047718	-0.0117859
HG00378	HG00378	-0.00955387	-0.0225524	0.0158343	-0.017198	-0.0184447	0.0260164	-0.0155595	0.0158645	-0.0110616	0.0191273
HG00379	HG00379	-0.00927896	-0.0246077	0.00859919	-0.0236684	0.0184299	0.0506056	-0.0362882	-0.036096	-0.0153577	0.0231122
HG00380	HG00380	-0.00956742	-0.0254026	0.0121351	-0.0194142	0.0050867	0.0531572	0.00115668	-0.0372836	-0.0434146	0.0269718
HG00381	HG00381	-0.0117975	-0.0237921	0.0101452	-0.0224559	-0.0110665	0.0591562	-0.0342898	-0.00631342	-0.0303867	-0.0218774
HG00382	HG00382	-0.00857608	-0.0231861	0.0209912	-0.0246733	-0.00672518	0.0324352	-0.0559789	-0.00320019	-0.0468642	0.0263884
